user_id,role_id,role_name,system,granted_date,granted_by,access_end_date
U0139,R07,GL Approver,ERP-PROD,2026-06-11,U0238,
U0119,R09,Read-Only Reporting,ERP-PROD,2021-07-11,U0165,
U0188,R07,GL Approver,ERP-PROD,2024-03-29,U0003,
U0173,R02,AP Approver,ERP-PROD,2022-05-28,U0141,
U0067,R08,System Administrator,ERP-PROD,2025-08-24,U0352,
U0275,R07,GL Approver,ERP-PROD,2025-10-10,U0142,
U0251,R10,HR Generalist,ERP-PROD,2025-08-24,U0315,
U0356,R11,Sales Rep,ERP-PROD,2026-07-20,U0145,
U0383,R06,GL Preparer,ERP-PROD,2026-06-19,U0399,
U0246,R02,AP Approver,ERP-PROD,2020-06-12,U0113,
U0326,R05,Purchasing Approver,ERP-PROD,2023-01-14,U0004,
U0232,R03,Vendor Master Maintainer,ERP-PROD,2022-09-25,U0266,
U0122,R02,AP Approver,ERP-PROD,2020-11-24,U0034,
U0141,R11,Sales Rep,ERP-PROD,2023-08-28,U0389,
U0315,R03,Vendor Master Maintainer,ERP-PROD,2023-03-28,U0204,
U0248,R10,HR Generalist,ERP-PROD,2026-02-13,U0306,
U0206,R09,Read-Only Reporting,ERP-PROD,2025-04-14,U0145,
U0211,R09,Read-Only Reporting,ERP-PROD,2025-04-07,U0108,
U0084,R07,GL Approver,ERP-PROD,2026-07-28,U0015,
U0344,R02,AP Approver,ERP-PROD,2018-12-01,U0022,
U0203,R05,Purchasing Approver,ERP-PROD,2024-01-08,U0199,
U0126,R01,AP Clerk,ERP-PROD,2026-02-05,U0115,
U0345,R08,System Administrator,ERP-PROD,2024-07-04,U0395,
U0359,R03,Vendor Master Maintainer,ERP-PROD,2025-09-05,U0199,
U0296,R08,System Administrator,ERP-PROD,2023-11-14,U0359,
U0311,R08,System Administrator,ERP-PROD,2021-12-19,U0176,
U0174,R05,Purchasing Approver,ERP-PROD,2023-03-30,U0069,
U0252,R06,GL Preparer,ERP-PROD,2025-06-07,U0247,
U0292,R05,Purchasing Approver,ERP-PROD,2025-03-21,,
U0308,R09,Read-Only Reporting,ERP-PROD,2020-11-07,U0196,
U0353,R02,AP Approver,ERP-PROD,2023-10-27,U0376,
U0110,R06,GL Preparer,ERP-PROD,2025-12-29,U0028,2023-10-21
U0171,R05,Purchasing Approver,ERP-PROD,2024-10-29,U0355,
U0362,R08,System Administrator,ERP-PROD,2025-10-23,U0032,
U0278,R05,Purchasing Approver,ERP-PROD,2025-10-28,U0295,
U0387,R05,Purchasing Approver,ERP-PROD,2025-03-29,U0281,
U0394,R08,System Administrator,ERP-PROD,2026-02-28,U0075,
U0295,R03,Vendor Master Maintainer,ERP-PROD,2025-09-12,U0135,
U0216,R06,GL Preparer,ERP-PROD,2026-07-10,U0250,
U0385,R11,Sales Rep,ERP-PROD,2024-07-18,U0026,
U0158,R11,Sales Rep,ERP-PROD,2026-02-18,U0162,
U0132,R02,AP Approver,ERP-PROD,2022-01-21,U0215,
U0184,R05,Purchasing Approver,ERP-PROD,2022-06-18,U0283,2020-02-14
U0240,R08,System Administrator,ERP-PROD,2024-06-16,U0077,2025-07-10
U0215,R09,Read-Only Reporting,ERP-PROD,2025-04-12,U0149,
U0112,R02,AP Approver,ERP-PROD,2025-01-25,U0103,
U0117,R06,GL Preparer,ERP-PROD,2026-03-24,U0325,
U0207,R09,Read-Only Reporting,ERP-PROD,2025-02-13,U0243,
U0331,R09,Read-Only Reporting,ERP-PROD,2021-04-22,U0359,
U0124,R11,Sales Rep,ERP-PROD,2026-07-20,U0352,
U0339,R11,Sales Rep,ERP-PROD,2024-09-03,U0236,
U0105,R03,Vendor Master Maintainer,ERP-PROD,2026-06-30,U0344,
U0305,R11,Sales Rep,ERP-PROD,2024-05-21,U0063,
U0267,R09,Read-Only Reporting,ERP-PROD,2020-04-01,U0242,
U0129,R06,GL Preparer,ERP-PROD,2025-02-12,U0354,
U0298,R04,Purchasing Buyer,ERP-PROD,2025-09-10,U0052,
U0045,R07,GL Approver,ERP-PROD,2021-05-14,U0326,
U0388,R03,Vendor Master Maintainer,ERP-PROD,2025-06-21,U0397,
U0065,R11,Sales Rep,ERP-PROD,2025-12-31,U0278,
U0261,R06,GL Preparer,ERP-PROD,2023-09-06,U0283,
U0084,R08,System Administrator,ERP-PROD,2026-05-25,U0207,
U0225,R09,Read-Only Reporting,ERP-PROD,2026-05-27,U0260,
U0176,R02,AP Approver,ERP-PROD,2025-10-30,U0068,
U0154,R09,Read-Only Reporting,ERP-PROD,2022-01-16,U0286,
U0013,R10,HR Generalist,ERP-PROD,2024-01-07,U0012,
U0036,R08,System Administrator,ERP-PROD,2025-12-03,U0340,
U0029,R03,Vendor Master Maintainer,ERP-PROD,2025-10-10,,
U0163,R10,HR Generalist,ERP-PROD,2019-10-20,U0389,
U0138,R01,AP Clerk,ERP-PROD,2025-11-07,U0039,
U0327,R07,GL Approver,ERP-PROD,2023-02-22,U0194,
U0281,R08,System Administrator,ERP-PROD,2024-11-21,U0196,
U0205,R08,System Administrator,ERP-PROD,2026-07-29,U0033,
U0093,R09,Read-Only Reporting,ERP-PROD,2024-09-19,U0332,
U0052,R10,HR Generalist,ERP-PROD,2020-07-02,U0176,
U0223,R11,Sales Rep,ERP-PROD,2023-03-18,U0331,
U0307,R11,Sales Rep,ERP-PROD,2026-05-29,U0167,
U0313,R11,Sales Rep,ERP-PROD,2026-06-05,U0212,
U0171,R08,System Administrator,ERP-PROD,2025-12-21,U0248,
U0042,R06,GL Preparer,ERP-PROD,2025-04-25,U0395,
U0321,R11,Sales Rep,ERP-PROD,2026-04-28,U0306,
U0192,R08,System Administrator,ERP-PROD,2024-02-26,U0279,
U0260,R09,Read-Only Reporting,ERP-PROD,2026-07-04,U0142,
U0236,R10,HR Generalist,ERP-PROD,2026-01-04,U0301,
U0005,R02,AP Approver,ERP-PROD,2023-12-28,U0238,
U0238,R11,Sales Rep,ERP-PROD,2023-12-08,U0177,
U0368,R08,System Administrator,ERP-PROD,2026-07-13,U0235,
U0098,R08,System Administrator,ERP-PROD,2023-11-26,U0153,
U0209,R07,GL Approver,ERP-PROD,2026-07-17,U0006,2026-02-22
U0349,R05,Purchasing Approver,ERP-PROD,2026-03-21,U0069,
U0197,R02,AP Approver,ERP-PROD,2022-10-04,U0165,2024-07-19
U0164,R05,Purchasing Approver,ERP-PROD,2025-08-12,U0150,
U0096,R10,HR Generalist,ERP-PROD,2023-08-24,U0155,
U0270,R03,Vendor Master Maintainer,ERP-PROD,2023-12-16,U0397,
U0199,R09,Read-Only Reporting,ERP-PROD,2026-05-11,U0106,2026-05-30
U0061,R02,AP Approver,ERP-PROD,2026-07-17,U0136,
U0048,R01,AP Clerk,ERP-PROD,2023-07-12,U0225,
U0033,R08,System Administrator,ERP-PROD,2023-04-17,U0315,
U0247,R08,System Administrator,ERP-PROD,2026-07-21,U0338,
U0187,R04,Purchasing Buyer,ERP-PROD,2021-04-23,U0089,
U0366,R09,Read-Only Reporting,ERP-PROD,2022-08-04,U0099,
U0028,R02,AP Approver,ERP-PROD,2022-10-10,U0089,
U0323,R09,Read-Only Reporting,ERP-PROD,2025-03-09,U0277,
U0213,R10,HR Generalist,ERP-PROD,2021-09-27,U0095,2024-12-04
U0242,R04,Purchasing Buyer,ERP-PROD,2023-11-24,U0346,
U0266,R04,Purchasing Buyer,ERP-PROD,2024-08-19,U0200,
U0156,R02,AP Approver,ERP-PROD,2025-12-16,U0115,2026-06-08
U0347,R02,AP Approver,ERP-PROD,2021-11-20,U0065,
U0134,R04,Purchasing Buyer,ERP-PROD,2024-08-05,U0268,
U0062,R01,AP Clerk,ERP-PROD,2024-05-25,U0196,
U0131,R10,HR Generalist,ERP-PROD,2025-09-02,U0216,
U0125,R02,AP Approver,ERP-PROD,2025-04-14,U0385,
U0389,R11,Sales Rep,ERP-PROD,2024-09-06,U0102,
U0009,R10,HR Generalist,ERP-PROD,2026-05-01,U0208,
U0299,R10,HR Generalist,ERP-PROD,2024-08-06,U0101,
U0379,R06,GL Preparer,ERP-PROD,2024-05-28,U0248,
U0064,R08,System Administrator,ERP-PROD,2020-06-24,U0386,
U0276,R05,Purchasing Approver,ERP-PROD,2024-06-02,,
U0015,R07,GL Approver,ERP-PROD,2021-10-31,U0022,
U0151,R10,HR Generalist,ERP-PROD,2026-07-23,U0269,
U0041,R02,AP Approver,ERP-PROD,2026-06-12,U0353,
U0375,R03,Vendor Master Maintainer,ERP-PROD,2022-02-06,U0284,
U0371,R11,Sales Rep,ERP-PROD,2026-04-12,U0166,
U0200,R11,Sales Rep,ERP-PROD,2026-02-28,U0037,
U0258,R08,System Administrator,ERP-PROD,2023-01-16,U0193,
U0354,R11,Sales Rep,ERP-PROD,2025-05-02,U0123,
U0310,R07,GL Approver,ERP-PROD,2026-07-13,U0293,
U0219,R10,HR Generalist,ERP-PROD,2026-02-04,U0290,
U0193,R01,AP Clerk,ERP-PROD,2022-02-19,U0340,
U0197,R08,System Administrator,ERP-PROD,2026-03-07,U0261,
U0272,R04,Purchasing Buyer,ERP-PROD,2023-01-17,,
U0373,R07,GL Approver,ERP-PROD,2022-02-19,U0266,2022-02-26
U0233,R02,AP Approver,ERP-PROD,2026-05-13,U0233,
U0399,R10,HR Generalist,ERP-PROD,2026-03-22,U0248,
U0374,R04,Purchasing Buyer,ERP-PROD,2021-05-21,,
U0279,R08,System Administrator,ERP-PROD,2026-06-26,U0395,
U0322,R09,Read-Only Reporting,ERP-PROD,2025-08-11,U0328,
U0249,R02,AP Approver,ERP-PROD,2023-07-27,,
U0188,R06,GL Preparer,ERP-PROD,2024-05-17,U0285,
U0156,R01,AP Clerk,ERP-PROD,2026-04-20,U0252,
U0044,R08,System Administrator,ERP-PROD,2025-05-12,U0170,
U0201,R05,Purchasing Approver,ERP-PROD,2025-11-10,U0020,
U0180,R08,System Administrator,ERP-PROD,2025-11-18,U0007,
U0285,R05,Purchasing Approver,ERP-PROD,2021-07-15,U0294,
U0241,R09,Read-Only Reporting,ERP-PROD,2026-03-03,U0118,
U0103,R08,System Administrator,ERP-PROD,2026-04-10,U0019,
U0054,R05,Purchasing Approver,ERP-PROD,2025-09-09,U0221,
U0002,R11,Sales Rep,ERP-PROD,2024-07-07,U0232,
U0395,R06,GL Preparer,ERP-PROD,2022-12-19,U0351,
U0050,R10,HR Generalist,ERP-PROD,2025-12-27,U0334,
U0080,R09,Read-Only Reporting,ERP-PROD,2024-05-29,U0160,
U0191,R10,HR Generalist,ERP-PROD,2026-07-29,U0113,
U0035,R04,Purchasing Buyer,ERP-PROD,2023-03-07,U0270,
U0244,R02,AP Approver,ERP-PROD,2022-04-12,U0265,2022-07-31
U0334,R05,Purchasing Approver,ERP-PROD,2023-06-20,U0160,2019-03-19
U0089,R09,Read-Only Reporting,ERP-PROD,2022-02-02,U0084,
U0312,R10,HR Generalist,ERP-PROD,2023-02-01,U0310,
U0386,R05,Purchasing Approver,ERP-PROD,2022-11-22,U0202,
U0053,R04,Purchasing Buyer,ERP-PROD,2024-08-08,U0048,
U0317,R05,Purchasing Approver,ERP-PROD,2024-04-12,U0118,
U0245,R08,System Administrator,ERP-PROD,2026-07-21,U0369,
U0224,R10,HR Generalist,ERP-PROD,2025-12-05,U0101,2025-01-12
U0014,R05,Purchasing Approver,ERP-PROD,2026-05-26,U0048,
U0290,R07,GL Approver,ERP-PROD,2026-03-30,U0094,2026-03-22
U0086,R05,Purchasing Approver,ERP-PROD,2024-03-19,U0141,
U0353,R08,System Administrator,ERP-PROD,2023-09-08,,
U0253,R11,Sales Rep,ERP-PROD,2026-07-24,U0268,
U0159,R02,AP Approver,ERP-PROD,2026-06-06,U0047,
U0301,R09,Read-Only Reporting,ERP-PROD,2025-02-05,U0154,
U0130,R11,Sales Rep,ERP-PROD,2025-08-09,U0130,
U0282,R09,Read-Only Reporting,ERP-PROD,2022-09-30,U0212,
U0393,R08,System Administrator,ERP-PROD,2024-11-25,U0087,
