transaction_id,txn_date,preparer_id,approver_id,account,amount,description
T000270,2025-12-16,U0085,,6050-Facilities,124.89,Facilities charge
T000271,2025-10-04,U0189,U0237,6100-Freight & Shipping,2968.03,Freight & Shipping charge
T000272,2026-01-18,U0374,,6070-Utilities,102.19,Utilities charge
T000273,2025-11-10,U0326,,6040-IT Software,303.67,IT Software charge
T000274,2026-05-10,U0319,,6010-Office Supplies,568.96,Office Supplies charge
T000275,2026-02-03,U0337,,6080-Consulting,2405.23,Consulting charge
T000276,2025-09-02,U0020,,6030-Professional Fees,101.55,Professional Fees charge
T000277,2026-04-30,U0371,,6020-Travel & Entertainment,1771.32,Travel & Entertainment charge
T000278,2025-12-01,U0241,,6080-Consulting,498.33,Consulting charge
T000279,2025-11-01,U0021,,6050-Facilities,167.39,Facilities charge
T000280,2026-03-05,U0347,,6100-Freight & Shipping,819.19,Freight & Shipping charge
T000281,2026-07-19,U0148,,6080-Consulting,613.37,Consulting charge
T000282,2025-10-04,U0039,,6100-Freight & Shipping,4995.0,Freight & Shipping charge
T000283,2026-03-02,U0080,,6030-Professional Fees,254.62,Professional Fees charge
T000284,2026-03-02,U0371,,6010-Office Supplies,532.07,Office Supplies charge
T000285,2026-05-22,U0048,U0059,6040-IT Software,322.52,IT Software charge
T000286,2025-11-25,U0347,,6090-Equipment,558.28,Equipment charge
T000287,2026-02-02,U0399,,6050-Facilities,1020.8,Facilities charge
T000288,2026-06-01,U0059,U0082,6100-Freight & Shipping,2820.36,Freight & Shipping charge
T000289,2026-01-23,U0299,,6060-Marketing,126.27,Marketing charge
T000290,2025-10-23,U0096,U0112,6040-IT Software,5147.86,IT Software charge
T000291,2026-07-12,U0322,,6090-Equipment,57.55,Equipment charge
T000292,2026-04-02,U0068,U0078,6080-Consulting,416.98,Consulting charge
T000293,2026-05-04,U0014,,6060-Marketing,941.19,Marketing charge
T000294,2026-07-03,U0256,,6090-Equipment,671.22,Equipment charge
T000295,2025-09-15,U0172,,6020-Travel & Entertainment,248.4,Travel & Entertainment charge
T000296,2026-08-19,U0084,U0049,6040-IT Software,391.92,IT Software charge
T000297,2026-08-20,U0246,,6020-Travel & Entertainment,286.49,Travel & Entertainment charge
T000298,2025-09-22,U0249,,6040-IT Software,257.67,IT Software charge
T000299,2026-07-01,U0296,,6010-Office Supplies,1254.59,Office Supplies charge
T000300,2025-10-04,U0030,,6050-Facilities,729.76,Facilities charge
T000301,2026-07-06,U0073,U0393,6040-IT Software,229.94,IT Software charge
T000302,2025-09-15,U0201,,6020-Travel & Entertainment,1325.52,Travel & Entertainment charge
T000303,2026-06-24,U0159,,6060-Marketing,690.92,Marketing charge
T000304,2026-01-02,U0354,U0333,6090-Equipment,1204.9,Equipment charge
T000305,2026-05-29,U0013,,6040-IT Software,984.95,IT Software charge
T000306,2026-06-03,U0100,U0125,6010-Office Supplies,197.97,Office Supplies charge
T000307,2026-08-29,U0292,,6080-Consulting,266.08,Consulting charge
T000308,2026-08-11,U0255,,6020-Travel & Entertainment,1121.05,Travel & Entertainment charge
T000309,2026-04-06,U0218,,6040-IT Software,964.3,IT Software charge
T000310,2025-11-03,U0177,U0207,6080-Consulting,481.55,Consulting charge
T000311,2026-06-13,U0164,,6010-Office Supplies,560.63,Office Supplies charge
T000312,2026-01-24,U0221,,6080-Consulting,2009.08,Consulting charge
T000313,2025-12-25,U0257,,6090-Equipment,257.05,Equipment charge
T000314,2025-12-06,U0248,,6020-Travel & Entertainment,899.47,Travel & Entertainment charge
T000315,2025-10-25,U0359,U0396,6030-Professional Fees,5000.0,Professional Fees charge
T000316,2025-11-01,U0052,,6030-Professional Fees,394.49,Professional Fees charge
T000317,2025-11-26,U0062,U0118,6020-Travel & Entertainment,387.82,Travel & Entertainment charge
T000318,2026-03-26,U0344,,6020-Travel & Entertainment,1650.2,Travel & Entertainment charge
T000319,2026-01-21,U0288,,6100-Freight & Shipping,1221.65,Freight & Shipping charge
T000320,2026-03-24,U0376,,6060-Marketing,1205.75,Marketing charge
T000321,2026-05-07,U0234,,6090-Equipment,2071.5,Equipment charge
T000322,2025-11-02,U0065,U0080,6050-Facilities,504.27,Facilities charge
T000323,2025-10-21,U0023,,6010-Office Supplies,1043.3,Office Supplies charge
T000324,2025-12-01,U0020,,6070-Utilities,350.27,Utilities charge
T000325,2026-07-16,U0172,U0301,6100-Freight & Shipping,703.86,Freight & Shipping charge
T000326,2026-04-27,U0285,,6040-IT Software,427.03,IT Software charge
T000327,2026-01-12,U0292,,6090-Equipment,548.23,Equipment charge
T000328,2025-09-10,U0315,,6010-Office Supplies,948.3,Office Supplies charge
T000329,2026-03-16,U0070,,6080-Consulting,200.33,Consulting charge
T000330,2025-09-19,U0266,,6010-Office Supplies,4922.77,Office Supplies charge
T000331,2026-08-28,U0172,U0225,6030-Professional Fees,162.94,Professional Fees charge
T000332,2025-10-27,U0281,,6100-Freight & Shipping,129.59,Freight & Shipping charge
T000333,2026-06-04,U0399,,6100-Freight & Shipping,1761.5,Freight & Shipping charge
T000334,2026-05-18,U0093,,6010-Office Supplies,1177.12,Office Supplies charge
T000335,2026-07-13,U0217,U0040,6060-Marketing,979.0,Marketing charge
T000336,2026-06-30,U0021,,6010-Office Supplies,983.56,Office Supplies charge
T000337,2025-09-14,U0336,,6060-Marketing,486.16,Marketing charge
T000338,2026-03-30,U0204,U0135,6060-Marketing,183.65,Marketing charge
T000339,2026-02-07,U0379,,6100-Freight & Shipping,535.6,Freight & Shipping charge
T000340,2025-10-29,U0173,,6060-Marketing,233.95,Marketing charge
T000341,2026-04-24,U0027,,6070-Utilities,1440.34,Utilities charge
T000342,2025-09-11,U0152,,6080-Consulting,419.15,Consulting charge
T000343,2026-06-20,U0217,U0284,6070-Utilities,198.73,Utilities charge
T000344,2026-08-20,U0061,,6040-IT Software,346.01,IT Software charge
T000345,2026-02-21,U0390,,6030-Professional Fees,776.06,Professional Fees charge
T000346,2025-12-13,U0252,,6080-Consulting,265.05,Consulting charge
T000347,2026-06-02,U0047,U0331,6040-IT Software,199.45,IT Software charge
T000348,2025-12-25,U0232,U0335,6100-Freight & Shipping,644.23,Freight & Shipping charge
T000349,2026-07-01,U0058,,6060-Marketing,645.14,Marketing charge
T000350,2026-05-02,U0306,,6070-Utilities,282.13,Utilities charge
T000351,2026-02-02,U0382,,6090-Equipment,293.49,Equipment charge
T000352,2026-02-08,U0311,U0297,6040-IT Software,636.04,IT Software charge
T000353,2026-08-10,U0262,U0299,6090-Equipment,100.19,Equipment charge
T000354,2026-06-23,U0109,,6080-Consulting,104.77,Consulting charge
T000355,2026-01-16,U0270,,6090-Equipment,223.57,Equipment charge
T000356,2026-06-17,U0251,,6010-Office Supplies,389.63,Office Supplies charge
T000357,2026-01-02,U0087,,6030-Professional Fees,693.67,Professional Fees charge
T000358,2026-03-30,U0251,,6060-Marketing,2497.12,Marketing charge
